Title,Price (PKR),Beds,Baths,Area (Marla),Price Per Marla,Area,Block,Phase,Sector
7 Marla House For Sale,35000000.0,5.0,6.0,8.0,4375000.0,Faisal Town,,,F-18
Brand New Designer House For Sale,125000000.0,5.0,6.0,20.0,6250000.0,DHA Phase 2,,"Sector G, DHA Defence Phase 2",
1 Kanal Designer House For Sale At Peak Location In DHA-2,85000000.0,5.0,5.0,20.0,4250000.0,DHA Defence Phase 2,,,
Designer+Corner House Available for sale in Multi Garden B-17 Islamabad,57000000.0,5.0,5.0,10.0,5700000.0,MPCHS,"Block C1, MPCHS",,
23 Kanal Farm House Available For Sale,280000000.0,7.0,6.0,460.0,608695.6521739131,Naval Farms Housing Scheme,,,
G-11/3 Warda Hamna 3 3 Bed Apartment Available For Sale,49000000.0,3.0,3.0,8.9,5505617.97752809,G-11/3,,,G-11/3
"Brand New 3 Bed Apartment Available For Sale In The Heart Of Islamabad, All Facilities Available",89000000.0,3.0,3.0,9.0,9888888.888888888,F-10,,,F-10
Sector B1 New House Bahria Enclave,41000000.0,5.0,6.0,8.0,5125000.0,Bahria Enclave,,,
1 Kanal Furnished House 5 Bedrooms For Sale At DHA Phase 2,119000000.0,5.0,6.0,20.0,5950000.0,DHA Defence Phase 2,,,
7 Bedroom House Available For Sale In DHA Phase 1 Sector E,80000000.0,7.0,6.0,20.0,4000000.0,DHA Phase 1,,"Sector E, DHA Defence Phase 1",
1 KANAL 5 BEDROOM HOUSE AVAILABLE FOR SALE,104000000.0,5.0,6.0,20.0,5200000.0,DHA Defence Phase 1,,,
7 Marla Double Storey Brand New House For Sale G15.4 Islamabad,35000000.0,5.0,6.0,7.0,5000000.0,G-15,,,G-15/4
Prime Location 10marla 5bedrooms Brand New House For Sale In Bahria Enclave Islamabad Sector C1,56500000.0,5.0,5.0,10.0,5650000.0,Bahria Enclave,,,
Outstanding Location 10marla 5bedrooms Brand New House For Sale In Bahria Enclave Islamabad Sector C1,59000000.0,5.0,5.0,10.0,5900000.0,Bahria Enclave,,,
The Galleria 3bedrooms Diamond Category Apartment Available For Sale in Bahria Enclave Islamabad,22000000.0,3.0,3.0,10.9,2018348.623853211,Bahria Enclave,,,
Top City 10 Marla House For Sale,41500000.0,5.0,7.0,10.0,4150000.0,Top City 1,,,
"Fully Furnished 1Bed Apartment 2nd Floor, Doha Emporium FMC Plaza, FaisalMargallaCity (adjacent to B17), Islamabad",7000000.0,1.0,1.0,2.1,3333333.333333333,MPCHS,,,B-17
Single Story House For Sale on Reasonable Price. . .,6500000.0,2.0,2.0,3.0,2166666.6666666665,,,,H-13
Fully Furnished Flat for Sale in The Centaurus Islamabad,100000000.0,2.0,4.0,9.0,11111111.111111112,F-8,,,F-8
2 Bed 1195 Square Feet Corner Flat For Sale In NORA Residence,11100000.000000002,2.0,2.0,5.3,2094339.6226415096,NORA Residences,,,
Corner 1 Kanal Furnished House Near Islamabad Expressway,107500000.0,5.0,6.0,20.0,5375000.0,DHA Defence Phase 2,,,
Prime Location 4 Marla House For sale In Rs. 39000000 Only,39000000.0,4.0,5.0,4.0,9750000.0,G-14,,,G-14/4
Corner House,175000000.0,7.0,6.0,14.0,12500000.0,G-9,,,G-9/3
Defense Villa For Sale,38000000.0,3.0,4.0,11.0,3454545.4545454546,DHA Phase 1,,"Defence Villas, DHA Phase 1",
Beautiful House for Sale,125000000.0,5.0,6.0,20.0,6250000.0,DHA Defence Phase 2,,,
"G-13/4 70 FeeT Road Brand New 500 Yards Architect Design Double Story House 6 Master Bedrooms Attached Stylish Bathrooms Two Drawing Dining Two TV Lounge Two American Style Kitchen , Store Two Servant Quarter HUGE LUSH GREEN LAWN With EXTRA LAND Reasonable Price",165000000.0,7.0,7.0,20.0,8250000.0,,,,G-13
"8 Marla House For Sale In Multi Gardens B-17, MPCHS Islamabad",25000000.0,5.0,6.0,8.0,3125000.0,MPCHS,,,B-17
House For Sale Reasonable Price G-13/3 Islamabad,57000000.0,5.0,6.0,7.0,8142857.142857143,G-13,,,G-13/3
Gulberg Green 10 Kanal Corner Fully Develop And Constructed Farm House,750000000.0,8.0,6.0,200.0,3750000.0,Gulberg,,,
Ideal House For sale In G-9/3,80000000.0,7.0,4.0,10.0,8000000.0,G-9,,,G-9/3
Prime Location 1 Kanal House Available For Sale In DHA Phase 2 - Sector H,125000000.0,6.0,6.0,20.0,6250000.0,DHA Phase 2,,"Sector H, DHA Defence Phase 2",
"Beautiful Corner 2 Bed Flat CDA Approved , Gas Installed",5200000.0,2.0,2.0,3.8,1368421.052631579,,,,D-17
Boulevad Catagory 8 Marla Brand New Park Face Ready to Move Home Available For Sale,15500000.0,3.0,3.0,8.0,1937500.0,Oleander Sector,"DHA Homes Block A, DHA Valley",,
E-7 ULTRA MODERN DESIGN HOUSE,720000000.0,6.0,6.0,32.0,22500000.0,,,,E-7
F-8/3 Demolish Able House For Sale,300000000.0,4.0,,36.0,8333333.333333333,,,,F-8
Fully Furnished House For Sale,480000000.0,6.0,6.0,26.0,18461538.46153846,,,,F-7
400 Square Yards House In F-6,360000000.0,9.0,6.0,16.0,22500000.0,,,,F-6
F-8 Brand New House For Sale,660000000.0,6.0,,36.0,18333333.33333333,,,,F-8
E-7 House For Sale Demolish Able House,700000000.0,4.0,5.0,38.0,18421052.63157895,,,,E-7
10 Marla House For Sale University Town Islamabad,32000000.0,5.0,5.0,10.0,3200000.0,University Town,,,
House For Sale In Sector C-1 Best Location For Living 5 Bedroom With Attach Bath Near To Main Entrance Bahria Enclave Islamabad,44000000.0,5.0,6.0,10.0,4400000.0,Bahria Enclave,,,
Prime Location House Available For Sale In F8,600000000.0,8.0,,72.0,8333333.333333333,,,,F-8
B-17 II 5 Marla Luxury House II For Sale,25000000.0,5.0,5.0,5.0,5000000.0,,,,B-17
FMC II 5 Marla Luxury House II For Sale II Best Location Near to MDR,24000000.0,4.0,4.0,5.0,4800000.0,B-17,,,B-17
B-17 II 10 Marla Luxury House II For Sale II Best Location Near to MDR,60000000.0,5.0,5.0,10.0,6000000.0,,,,B-17
7 Marla Used House For Sale In F-17 Islamabad,21000000.0,5.0,6.0,7.0,3000000.0,,,,F-17
Apartments For Sale On Prime Location,15000000.0,2.0,2.0,4.7,3191489.3617021274,Bahria Enclave,,,
FRONT /BACK OPEN 9 Marla HOUSE AVAILABLE FOR SALE,42500000.0,4.0,5.0,9.0,4722222.222222222,Bahria Enclave,,,
7 Marla House For Sale In Rs. 33000000 Only,33000000.0,5.0,6.0,7.0,4714285.714285715,Jinnah Gardens,,,
"MALL OF ISLAMABAD (1874 Sq. Ft) 18th ,Floor Ready For Position",85000000.0,2.0,3.0,8.3,10240963.855421688,Mall of,,,
Brand New House For Sale In Top City-1 Islamabad,38500000.0,5.0,6.0,10.0,3850000.0,Top City 1,"Block A, Top City 1",,
BRAND NEW HOUSE FOR SALE IN F-11/2,320000000.0,9.0,7.0,24.0,13333333.333333334,,,,F-11
"2 BEDROOM FLAT FOR SALE IN G-15 MARKAZ, ISLAMABAD.",6000000.0,2.0,2.0,2.7,2222222.222222222,G-15,,,G-15
One Bed Apartment In Sector A Urban Boulevard For Sale At Reasonable Price,5800000.0,1.0,1.0,2.4,2416666.666666667,Bahria Enclave,,,
Spacious 1 Bed Room Apartment For Sale In Bahria Enclave Sector C1,7500000.0,1.0,1.0,2.2,3409090.9090909087,Bahria Enclave,,,
Sector A Brand New One Bed Apartment For Sale In Bahria Enclave Islamabad,6200000.0,1.0,1.0,2.2,2818181.818181818,Bahria Enclave,,,
House For Sale In F-7/2,810000000.0,4.0,5.0,72.0,11250000.0,,,,F-7
F-7/3 House For Sale Prime Location,400000000.0,4.0,,28.0,14285714.285714284,F-7,,,F-7/3
Apartment For Sale In Mall Of Islamabad,120000000.0,2.0,3.0,10.6,11320754.716981132,Mall of,,,
Brand New Luxury House For Sale In F-7 On Prime Location,550000000.0,7.0,6.0,26.0,21153846.153846152,,,,F-7
Multi Gardens F Block 5 Marla Homes Brand New For Sale In B 17 Islamabad,21500000.0,5.0,5.0,5.0,4300000.0,MPCHS,"Block F, MPCHS",,
House For sale In Islamabad,42000000.0,5.0,6.0,10.0,4200000.0,Bahria Enclave,,,
Prime Location 14 Marla House For Grabs In I-8,165000000.0,6.0,6.0,14.0,11785714.285714284,I-8,,,I-8/3
Become Owner Of Your Prime Location House Today Which Is Centrally Located In Top City 1 In Top City 1,49900000.0,5.0,6.0,10.0,4990000.0,Top City 1,,,
Brand New Beautiful House,51500000.0,4.0,6.0,10.0,5150000.0,Top City 1,,,
"Luxury Semi Furnished , Ready to move in 10 Marla Villa with extra land In Eighteen Available",62000000.0,4.0,5.0,10.0,6200000.0,Eighteen,,,
F-11/4 Dead End Street Storey House For Sale,170000000.0,5.0,6.0,20.0,8500000.0,F-11,,,F-11/4
Buy A Centrally Located Prime Location 10 Marla House In B-17,52000000.0,5.0,5.0,10.0,5200000.0,,,,B-17
F-11 Investor Price 2 Bed Apartment Available For Sale,31500000.0,2.0,2.0,5.8,5431034.482758621,F-11,,,F-11
Farm House Available For Sale,265000000.0,7.0,3.0,1760.0,150568.18181818182,Sehala Farm House,,,
New House For Sale Top City 1,80000000.0,9.0,6.0,20.0,4000000.0,Top City 1,"Block B, Top City 1",,
10 Marla Park Face Brand New House For Sale In Top City-1 Islamabad,40000000.0,6.0,6.0,10.0,4000000.0,Top City 1,"Block D, Top City 1",,
35X70 Brand New House For Sale,91000000.0,7.0,6.0,10.0,9100000.0,,,,G-13
Beautiful 10 Marla Park Facing House for Sale in Bahria Enclave Sector C2 Islamabad,60000000.0,5.0,6.0,10.0,6000000.0,Bahria Enclave,,,
Gulbarg Residential 7 Marla Double Storey Brand New House,43000000.0,4.0,5.0,7.0,6142857.142857143,Gulberg Residencia,"Block F, Gulberg Residencia",,
Brand New House For Sale,30000000.0,5.0,6.0,8.0,3750000.0,Soan Garden,,,
Brand New House For Sale,29000000.0,5.0,6.0,7.0,4142857.142857143,Soan Garden,,,
Corner House For Sale,17500000.0,5.0,4.0,3.0,5833333.333333333,Soan Garden,,,
Multi Gardens F Block 5 Marla Homes Design Home For Sale In B17 Islamabad,23000000.0,5.0,5.0,5.0,4600000.0,MPCHS,"Block F, MPCHS",,
1-Bedroom Apartment | 3rd Floor | Excellent Investment Opportunity | Zarkon Heights Islamabad,10000000.0,1.0,1.0,2.8,3571428.571428572,G-15,,,G-15
Dha2 1.5 kanal Brand new Luxurious Designer Full furnished House,180000000.0,6.0,6.0,30.0,6000000.0,DHA Defence Phase 2,,,
"2-Bedroom Apartment For Sale In G-15 Markaz, Islamabad 572 Sq. Ft.",5200000.0,2.0,2.0,2.5,2080000.0,G-15,,,G-15
14 Marla Double Unit House For Sale In G-15/1 Islamabad Prime Location,55000000.0,6.0,6.0,14.0,3928571.4285714286,G-15,,,G-15/1
"HOT PROPERTY IN ISLAMABAD, PAKISTAN",6700000.0,2.0,2.0,2.7,2481481.4814814813,G-15,,,G-15
YOUR DREAM HOME,72500000.0,8.0,6.0,20.0,3625000.0,Soan Garden,"Block B, Soan Garden",,
National Police Foundation Block C USE HOUSE FOR SALE,40000000.0,6.0,6.0,14.0,2857142.8571428573,National Police Foundation O-9,"Block C, National Police Foundation O-9",,O-9
666 sq/yds House For Sale,360000000.0,6.0,6.0,26.0,13846153.846153846,,,,F-7
Main Boulevard 2 Kanal House For Sale,530000000.0,5.0,6.0,40.0,13250000.0,F-7,,,F-7/2
3200 Square Feet House For sale In Rs. 93000000 Only,93000000.0,,,14.2,6549295.774647888,G-9,,,G-9/3
Reserve A House Of 666 Square Yards Now In F-10/2,180000000.0,,,26.0,6923076.923076923,F-10,,,F-10/2
Diplomatic Enclave Two Bed Fully Furnished Apartment Available For Sale In Islamabad,75500000.0,2.0,3.0,8.9,8483146.06741573,Diplomatic Enclave,,,
AN OUTSTANDING APARTMENT AVAILABLE FOR SALE IN E-11 ISLAMABAD,8500000.0,1.0,1.0,2.2,3863636.3636363633,,,,E-11
F-11 Markaz 2 Bedroom Luxury Furnished Apartment Available For Sale,28000000.0,2.0,2.0,9.4,2978723.404255319,,,,F-11
5 Marla Modern Design Single Unit Double Storey House Available For Sale In Faisal Margalla City (FMC)/ B-17 Islamabad.,27000000.0,4.0,5.0,5.0,5400000.0,B-17,,,B-17
Buy Corner 10 Marla House At Highly Affordable Price,65000000.0,4.0,4.0,10.0,6500000.0,Eighteen,,,
"Two Bed Apartment For Sale In LAMAR TOWER , Main Double Road , E-11/2 Markaz , Islamabad",21100000.0,2.0,2.0,3.7,5702702.702702702,E-11,,,E-11/2
8 MARLA BRAND NEW HOUSE FOR SALE F-17 ISLAMABAD ALL FACILITY AVAILABLE CDA APPROVED SOCIETY,29000000.0,5.0,6.0,8.0,3625000.0,,,,F-17
10 MARLA BRAND NEW HOUSE FOR SALE F-17 ISLAMABAD ALL FACILITY AVAILABLE CDA APPROVED SECTOR,38000000.0,6.0,6.0,10.0,3800000.0,,,,F-17
14 Marla Double Story Available For Sale In G-15,48000000.0,6.0,7.0,14.0,3428571.4285714286,,,,G-15
Brand New 11 Marla House Available For Sale In F-15 Islamabad,45500000.0,6.0,6.0,11.0,4136363.636363636,,,,F-15
Brand New 11 Marla House Available For Sale In F-15 Islamabad,45000000.0,6.0,6.0,11.0,4090909.090909091,,,,F-15
"Two Bedroom Flat For Sale In Goldcrest Highlife 1 Near Giga Mall, World Trade Center DHA-2 Islamabad",12000000.0,2.0,2.0,6.0,2000000.0,Goldcrest Highlife,,,
"Two Bedroom Flat For Sale In Goldcrest Highlife 3 Near Giga Mall, World Trade Center DHA-2 Islamabad",7700000.0,2.0,2.0,3.9,1974358.9743589745,Goldcrest Highlife,,,
Luxury House For Sale National Police Foundation,58000000.0,6.0,6.0,20.0,2900000.0,,,,O-9
DREAM HOUSE FOR SALE,70000000.0,6.0,6.0,20.0,3500000.0,Soan Garden,,,
Brand New House A Grade Construction Corner House,37500000.0,4.0,6.0,7.0,5357142.857142857,CBR Town Phase 1,"Block B, CBR Town Phase 1",,
G-13 1 Kanal Brand new double story Luxury House,160000000.0,6.0,7.0,20.0,8000000.0,,,,G-13
G-13 25x40 Brand New Double Storey House Available,39000000.0,4.0,4.0,4.0,9750000.0,,,,G-13
10marla brand new designer house for sale in sector c1,58000000.0,5.0,6.0,10.0,5800000.0,Bahria Enclave,,,
5 Marla Brand New House Is Available For Sale In Faisal Town Block C F-18 Islamabad,24500000.0,4.0,5.0,5.0,4900000.0,Faisal Town Phase 1,"Block C, Faisal Town Phase 1",,
I-14-4 Brand New House For Sale Front Open Luxury House,30000000.0,5.0,5.0,6.7,4477611.940298507,I-14,,,I-14/4
Buy A 1200 Square Yards House For Sale In F-6/2,600000000.0,5.0,5.0,48.0,12500000.0,F-6,,,F-6/2
Proper Corner With Extra Land House For Sale Jn G9.3,125000000.0,6.0,6.0,11.2,11160714.285714287,G-9,,,G-9/3
Fully Furnished Flat for Sale in Karakoram Apartments Diplomatic Enclave Islamabad,63000000.0,2.0,3.0,9.0,7000000.0,Karakoram Diplomatic Enclave,,,
Flat Available for Sale in Karakoram Apartment Diplomatic Enclave,55000000.0,2.0,2.0,7.1,7746478.873239437,Karakoram Diplomatic Enclave,,,
Luxury Penthouse Available For Sale In FMC Adj To B-17 Islamabad,37000000.0,4.0,4.0,19.6,1887755.102040816,B-17,,,B-17
Two Bedroom Flat Available For Sale In Dha Phase 2 Islamabad.,10500000.0,2.0,2.0,5.1,2058823.5294117648,Defence Residency,,,
Double Story & ; Brand New House For Sale {LOP+ Completion} Clear From CDA,29000000.0,5.0,6.0,7.0,4142857.142857143,Jinnah Gardens Phase 1,,,
8 Marla Plus 2 Marla Extra Land Beautiful House For Sale In Sector F Bahria Enclave Islamabad,39000000.0,5.0,6.0,8.0,4875000.0,Bahria Enclave,,,
Double Story Livable House Margalla Face,480000000.0,6.0,6.0,38.0,12631578.94736842,F-6,,,F-6/3
Sector M 10 Marla Brand New House Sun Facing Elevated And Heighted Location Available For Sale,40000000.0,5.0,5.0,10.0,4000000.0,Bahria Enclave,,,
Sector H 5 Marla Boulevard House Excellent Construction Quality Sun Facing House Available For Sale,25000000.0,3.0,4.0,5.0,5000000.0,Bahria Enclave,,,
G-13 35x70 Brand New Double Story Luxury House For Sale,90000000.0,6.0,6.0,10.0,9000000.0,,,,G-13
"29x75, Adjacent Mpchs, New Double Unit Designer House On Best Location On Reasonable Price.",70000000.0,5.0,5.0,9.0,7777777.777777778,E-11,,,E-11/3
"6-Marla 3-Bed Beautifuly Designed House For Sale in H-13, Paris City, Islamabad",17000000.0,3.0,4.0,6.0,2833333.333333333,,,,H-13
Most Beautiful Designer 1-Kanal House For Sale in Prime Location of DHA-2 Islamabad,127500000.0,5.0,6.0,20.0,6375000.0,DHA Defence Phase 2,,,
"Corner House With Basement For Sale In Prime Location Of DHA Phase-1, Islamabad",137000000.0,9.0,7.0,28.0,4892857.142857143,DHA Phase 1,,"Sector C, DHA Defence Phase 1",
Brand New 5 Marla Villas | 1.5-Year Installments | Prime Block C Location,27500000.0,4.0,5.0,5.0,5500000.0,Gulberg Residencia,"Block C, Gulberg Residencia",,
Constitution Avenue Luxury 4 Bed Apartment Available For Sale Higher Floor 40% Adjustment Possible,230000000.0,4.0,5.0,20.0,11500000.0,Constitution Avenue,,,
"Brand New Corner Margalla Facing 3 Bed Flat For Sale 11 Central G-11, Islamabad",57000000.0,3.0,3.0,8.4,6785714.285714285,G-11/1,,,G-11/1
Investor Deal Brand New Margalla Facing 2 Bed Flat In 11 Central G11 For Sale,33300000.0,2.0,2.0,6.4,5203125.0,G-11/1,,,G-11/1
VIP Location Corner Demolishable House in F-6 For Sale,650000000.0,5.0,6.0,56.0,11607142.857142856,F-6,,,F-6/1
Double Storey House Available For Sale In PWD Islamabad,35000000.0,5.0,6.0,9.3,3763440.860215053,PWD Housing Scheme,,,
"7 Marla Brand New Double Story House for sale in Jinnah Garden Near Expressway , Near Bahria Town, PWD, Police Foundation & Korang Town",33000000.0,4.0,4.0,7.0,4714285.714285715,Jinnah Gardens Phase 1,,,
Investor Alert 605 Sqyd F7 Prime Location Demolishable House Double Corner Close to F7 Markaz Size 50x90,280000000.0,5.0,6.0,24.0,11666666.666666666,,,,F-7
"5 Marla House For Sale Sector N, Bahria Enclave Islamabad",24500000.0,3.0,3.0,5.0,4900000.0,Bahria Enclave,,,
7 Marla Double Storey House For Sale,22000000.0,5.0,5.0,8.0,2750000.0,E-16,,,E-16/3
1 Kanal Double Storey,39000000.0,8.0,7.0,20.0,1950000.0,,,,E-16
Flat For Sale In Karakoram Apartments Diplomatic Enclave Islamabad,94000000.0,2.0,2.0,8.5,11058823.529411765,Karakoram Diplomatic Enclave,,,
5 Marla House For Sale In Rs. 28000000/- Only,28000000.0,3.0,4.0,5.0,5600000.0,Bahria Enclave,,,
10 Marla Beautiful Spanish Villa Is Available For Sale In Dha Phase 05 Emaar Islamabad,52500000.0,5.0,7.0,10.0,5250000.0,DHA Defence Phase 5,,,
9.5 Marla House For Sale In B-17 Islamabad Block C-1,44500000.0,9.0,7.0,9.0,4944444.444444444,MPCHS,,,B-17
70ft Road Short Corner House,35000000.0,4.0,3.0,5.0,7000000.0,I-10,,,I-10/1
50 Ft Road Near Class 3 Shopping Center,48000000.0,5.0,4.0,6.0,8000000.0,I-10,,,I-10/1
E-11 9 Bedroom 9 Bathroom 3 Storey House 40*90 400 Yard Marble Flooring Livable House,110000000.0,9.0,,16.0,6875000.0,,,,E-11
1 Kanal Double Unit 6 Bed House At Very Reasonable Price,95000000.0,6.0,6.0,20.0,4750000.0,DHA Defence Phase 2,,,
Sector B 10 Marla Brand New House Excellent Construction Quality Margalla Facing Available For Sale,49000000.0,5.0,6.0,10.0,4900000.0,Bahria Enclave,,,
Brand New House For SaleJannah Garden Islamabad,35000000.0,6.0,6.0,7.0,5000000.0,Jinnah Gardens Phase 1,,,
F 10 (800) Sq Yd House For Sale,300000000.0,7.0,7.0,32.0,9375000.0,,,,F-10
Beautiful Brand New Double Storey House For Sale,26000000.0,4.0,5.0,5.0,5200000.0,Pakistan Town,,"Phase 1, Pakistan Town",
1 Kanal House For Sale In Naval Anchorage Islamabad Block F,59000000.0,4.0,4.0,20.0,2950000.0,Naval Anchorage,"Block F, Naval Anchorage",,
"One Kanal Luxury Villa Sector G, DHA Phase 2, Islamabad",92500000.0,,,20.0,4625000.0,DHA Defence,,,
Soild Construction Brand New 25X40 House For Sale With 4 Bedroom Attached Washroom In G-13 Islamabad,39000000.0,4.0,4.0,4.0,9750000.0,,,,G-13
Brand New Luxury Solid Constructed 25X40 House For Sale In G-13 Islamabad,39500000.0,4.0,4.0,4.0,9875000.0,,,,G-13
Investor Alert F7 600 Syd Brand New house 3unit 3d/d 3tvl 3kitchen 9 bed room 2sqtr,450000000.0,9.0,7.0,24.0,18750000.0,,,,F-7
Brand New Spanish Style Double Storey House Available For Sale In Soan Garden Islamabad,42500000.0,7.0,7.0,10.0,4250000.0,Soan Garden,,,
Investor Alert Prime Location 500 Sqyd House Nearly f7 and near to Margalla road,300000000.0,5.0,6.0,20.0,15000000.0,,,,F-7
F7 Investor Alert 1166.66 SQY House Available for Sale.,550000000.0,5.0,6.0,46.0,11956521.739130436,,,,F-7
Dha2 One kanal Designer House Prime location of Dha2,139000000.0,5.0,6.0,20.0,6950000.0,DHA Defence Phase 2,,,
Dha Phase 2 One Kanal Owner Built Designer House Prime Location Of Dha Phase 2,105000000.0,6.0,6.0,20.0,5250000.0,DHA Defence Phase 2,,,
Reserve A House Now In Bahria Enclave - Sector A,73000000.0,5.0,6.0,12.0,6083333.333333333,Bahria Enclave,,,
Full House for Sale in E-11 Islamabad,125000000.0,6.0,7.0,16.0,7812500.0,,,,E-11
Investor Rate 8 Bedrooms Urgent SALE 500 SQYD House F-7,285000000.0,8.0,7.0,20.0,14250000.0,,,,F-7
1166 SQYD Good Livable House Is For Sale,550000000.0,6.0,6.0,46.0,11956521.739130436,,,,F-7
"1 Kanal Beautiful House For Sale DHA Phase 2, Islamabad",137000000.0,5.0,6.0,20.0,6850000.0,DHA Defence Phase 2,,,
5 Marla Fully Furnished House Is Available For Sale In Dha Phase 3 Sector A Islamabad,34000000.0,3.0,3.0,5.0,6800000.0,DHA Phase 3,"Block A, DHA Defence Phase 3",,
"I Am Selling Apartment On Installments 1.5 Years In Gulberg Greens , Posession Will Be Hand Over In 2 Year , Bes Future Invesment In Gulberg In Appartment .",9000000.0,1.0,1.0,3.6,2500000.0,Gulberg Greens,"Block E, Gulberg Greens",,
Beautiful House For Sale In PARK VIEW CITY,30000000.0,4.0,6.0,5.0,6000000.0,Park View,"Block B, Park View City",,
8 Marla Double Story CORNER House For Sale,17000000.0,3.0,3.0,8.0,2125000.0,DHA Valley,,,
Beautiful House for sale.,95000000.0,6.0,6.0,20.0,4750000.0,DHA Defence Phase 2,,,
The Galleria 3 Bed Luxury Category Apartment Semi Furnished 2458 Square Feet Sun Facing Available For Sale,21000000.0,3.0,4.0,10.9,1926605.504587156,The Galleria,,,
Sector N 2 Bed Apartment 850 Square Feet On 2nd Floor Sun Facing Available For Sale,8300000.0,2.0,3.0,3.8,2184210.5263157897,Bahria Enclave,,,
10 Marla ( 30*70 ) Brand New Double Unit House. Available For Sale In Margalla View Co-Operative Housing Society. MVCHS D-17 Sector D D-17/2 Islamabad.,39000000.0,6.0,6.0,10.0,3900000.0,D-17,,,D-17
1 Kanal ( 50*90 ) Proper Corner with Basement House. Available For Sale In Margalla View Co-Operative Housing Society. MVCHS D-17 Islamabad.,58500000.0,8.0,6.0,20.0,2925000.0,D-17,,,D-17
3 Bed Apartment Available For Sale In Paradise Mention D-17,8500000.0,3.0,3.0,6.8,1250000.0,D-17,,,D-17
8 Marla Best Location Triple Storey House Is Available For Sale In A Block Of Faisal Town Phase 1 Islamabad,40500000.0,10.0,6.0,8.0,5062500.0,Faisal Town Phase 1,"Block A, Faisal Town Phase 1",,
Corner One Bed Luxury Full Furnish Flat Available For Sale,10000000.0,,1.0,3.3,3030303.0303030303,E-11,,,E-11/4
One Kanal Brand New Designer House Prime Location Of Dha 2,119000000.0,5.0,6.0,20.0,5950000.0,DHA Defence Phase 2,,,
Dha2 One kanal Brand new Luxurious Designer House,115000000.0,5.0,6.0,20.0,5750000.0,DHA Defence Phase 2,,,
Dha 2 One Kanal Brand New Designer House,109000000.0,6.0,6.0,20.0,5450000.0,DHA Defence Phase 2,,,
Park View City Islamabad Overseas Block 5 Marla House On Installments,23000000.0,4.0,5.0,5.0,4600000.0,Park View City,"Overseas Block, Park View City",,
Park View City H Block 5 Marla Fully Furnished Vallas,29000000.0,4.0,5.0,5.0,5800000.0,Park View,"Block H, Park View City",,
Park view city Islamabad A Block 5 Marla Vallas Available,28000000.0,4.0,4.0,5.0,5600000.0,Park View,"Block A, Park View City",,
Luxury Furnished Apartment For Sale,6000000.0,2.0,2.0,3.6,1666666.6666666665,G-15,,,G-15
ONE KANAL BEAUTIFUL DESIGNER HOUSE WITH MODREN FRONT ELEVATION FOR SALE IN DHA PHASE 2 ISLAMABAD,120000000.0,5.0,6.0,20.0,6000000.0,DHA Defence Phase 2,,,
Ready To Buy A Flat In F-17,12000000.0,2.0,2.0,4.2,2857142.857142857,,,,F-17
Triple Storey Proper Basement New House For Sale In G10 2,125000000.0,8.0,6.0,12.0,10416666.666666666,G-10,,,G-10/2
Designer House Faisal Town Block A Size 30*60 : A+ Construction Street No 28 House No 696 Short Corner,36000000.0,6.0,6.0,8.0,4500000.0,Faisal Town,,,F-18
2 BHK Apartment For Sale At NORA Residences Islamabad On 3 Year Easy Installment Plan,11100000.000000002,2.0,2.0,5.3,2094339.6226415096,DHA Defence Phase 2,,,
Beautiful New House For Sale,115000000.0,6.0,6.0,20.0,5750000.0,DHA Defence Phase 2,,,
THIS BEAUTIFUL APARTMENT IS FOR SALE IN E-11 ISLAMABAD,7500000.0,1.0,1.0,2.2,3409090.9090909087,,,,E-11
8 Marla Corner House For Sale,34000000.0,5.0,5.0,8.0,4250000.0,Faisal Town,,,F-18
Two Bed Flat For Sale Corner Plaza,9450000.0,2.0,2.0,3.4,2779411.7647058824,Faisal Hills,"Block A, Faisal Hills",,
Mall Of Islamabad 1 Bed Possession Able Apartment 1202 Square Feet On 14th Floor Sun Facing And Saudi Pak Tower Facing Available For Sale,65000000.0,1.0,2.0,5.3,12264150.943396227,Mall of,,,
Mall of Islamabad 2 Bed Possessionable Apartment 1874 Square Feet on 17th Floor Sunfacing and Ufone Tower Facing Available for Sale,88000000.0,2.0,3.0,8.3,10602409.638554215,Mall of,,,
Brand New House For Sale,28000000.0,3.0,3.0,4.0,7000000.0,I-11,,,I-11/2
Brand New House 8 Marla Soan Garden,36500000.0,6.0,6.0,8.0,4562500.0,Soan Garden,"Block B, Soan Garden",,
10 Marla House Available For Sale,65000000.0,5.0,5.0,10.0,6500000.0,,,,G-13
8 Marla Single Storey Solid Gray Structure Near Imran Khan Chowk,15500000.0,3.0,4.0,8.0,1937500.0,Bani Gala,,,
14 Marla 40x80 Park Face Brand New House For Sale In G-13. Prime Location!,125000000.0,8.0,6.0,14.0,8928571.42857143,,,,G-13
Park View City Islamabad H Block 5 Marla Brand New Valla,35000000.0,4.0,6.0,5.0,7000000.0,Park View,"Block H, Park View City",,
Luxury Apartment For Sale In Heart Of Islamabad,3500000.0,1.0,1.0,1.6,2187500.0,G-15,,,G-15
Shahzad Town 8 Marla House On Main Road Excellent Construction Quality Back Open Sun Facing House For Sale,50000000.0,6.0,6.0,8.0,6250000.0,Shehzad Town,,,
Luxury Apartment For Sale,15000000.0,2.0,2.0,5.5,2727272.727272727,G-15,,,G-15
